text,option_1,option_2,option_3,option_4
Which Olympic Games do you most prefer to watch?,Winter.,Summer.,Both equally.,Neither.
Have you ever talked your way out of a traffic ticket?,Yes.,No.,,
Is there a difference between telling the truth and not lying?,Yes.,No.,,
"Would you have sex with someone who has very unusual physical features, just for the novelty of doing it with them?",Yes.,No.,"Maybe, depending on what the unusual features are.",
"How important is it to you that your abdominal muscles be a visible six-pack, eight-pack, or some higher level of sculpting?",Very important.,Somewhat important.,Not at all important.,"Hide them with fat, please."
"Your significant other wants to move every few years, to experience different parts of the country or world. What's your take on that?","My bags are packed, let's go.","Eh, as long as it's not too often I guess it's ok.",As long as we're not leaving the country.,I'd prefer to stay put.
"If you met someone online and they told you that they were disabled, how would you react?",I'd make excuses and stop contact.,I'd consider them as a friend but not a partner.,I'd want to meet them and see how I feel.,It would make no difference.
Which best characterizes your reaction upon finding out that a mate or potential mate is skilled at a computer programming language?,Positive.,Negative.,Neutral.,
Should drunk drivers who kill people in auto crashes face the death penalty?,Yes.,No.,,
"Suppose a close friend's partner is very attractive and thinks you're attractive, too. If you could enjoy a few hours of sex with them and your friend would never find out about it, would you do it?",Yes.,No.,Maybe.,
Have you made special efforts to keep any favorite toys from your childhood?,Yes.,No.,,
"Have you ever intentionally left a book in a public place, hoping someone else would pick it up and read it?",Yes.,No.,,
"Are you a 'light' cigarette smoker - that is, you smoke between one and five cigarettes per day?","Yes, I only smoke cigarettes lightly/occasionally.","No, I smoke more than that!","No, I don't smoke cigarettes.","No, I don't smoke, and I don't see the difference."
Do you have a workout buddy?,Yes.,"No, I prefer to exercise alone.","No, I exercise in groups (classes / team sports).","No, I'm not into working out."
Have you ever had a 'full body' orgasm?,Yes.,No.,I'm not sure.,
Would you consider dating someone who wants no sex for at least two years into a relationship because they were sexually assaulted or raped?,Yes.,No.,,
Do you see a pattern in the type of people you usually end up in relationships with?,Yes.,No.,,
Would it bother you if someone you are dating has a lot of close friends of the opposite sex?,Yes.,No.,,
"If you had children, would you be willing to support a significant other who stays home to raise them?",Yes.,No.,"Maybe, depending upon the circumstances.",
Do you have a strong sense of self?,"Yes, I am quite certain of who I am.","No, I'm still searching for my identity.",I'm on the verge of finding myself.,"No, I have no clue who I am, I'm an empty shell."
What portion of your friends are citizens of a country other than your own?,All or most.,Many.,"One, two or a few.",None.
"Suppose someone has engaged in numerous sexual acts with other people, but has never had penetrative intercourse.  This person proclaims virgin status.  Would you find this stance hypocritical?",Yes.,No.,,
"A billionaire falls in love with you and proposes marriage. You like them as a friend, but are neither in love nor attracted to them. Would you accept?",Definitely yes.,Probably yes.,Probably not.,Definitely not.
Would you support a system that would allow people to be free to live and work in any country in the world regardless of their citizenship or nation of birth?,Yes.,No.,I'm not sure.,
"In order to reduce crime, is it more effective to mandate harsher punishments or tackle the social and economic causes?",Mandate harsher punishments.,Tackle the causes.,,
"Would you be prepared to live without any health insurance whatsoever for two years, if it gave you the chance to go after a life-long dream (but no guarantee of reaching it)?",No. That would be highly irresponsible.,Probably not.,Probably yes.,Definitely yes.
How often do you find yourself becoming annoyed because other people just don't seem to understand the obvious?,All of the time.,Frequently.,Once in a while.,Never.
A company should be free to hire any worker it chooses.,Yes.,No.,,
Should only those who pay taxes be allowed to vote?,Yes.,No.,Voting power should be proportional to taxes paid.,I'm not sure.
I need you' or 'I want you.'  Which would you prefer to hear a partner say?,I need you.,I want you.,,
Have you ever driven a motor vehicle over 100mph (161kph)?,Yes.,No.,,
Have you been faithful in all of your past relationships?,Yes.,No.,I haven't had a past relationship.,
Did you read and understand OkCupid's 'How matching works' section?,Yes.,No.,"I read it, but didn't really understand it.",
How much do you trust the news media?,I believe almost everything.,I trust some sources more than others.,I think most sources have a hidden agenda.,It's all propaganda.
Do you listen to podcasts?,"Yes, frequently.","Yes, once in a while.",No.,
Imagine you're on a date with someone you really like and you decide to go to their place for the first time.  Their place turns out to be a pigsty. Your reaction?,Goodnight and goodbye.,Grin and bear it.,Dive in and start scrubbing.,I'd feel right at home.
Imagine that you are on a bus looking out the window. You see someone running towards the stop desperately trying to catch the bus. The bus driver pulls away before the person gets there. Your reaction?,"None, who cares?",Laugh.at the person.,"That's too bad, they'll get the next one.",Ask the driver to stop for the person.
Are you more concerned about possibility of being killed as a result of a terrorist attack or a traffic accident?,Terrorist attack.,Traffic accident.,Neither concerns me at all.,
"While drinking in an out-of-the-way bar, you see a friend's spouse having a romantic tête-à-tête. Do you mention it to your friend?",Yes.,No.,,
"Which type of wine would you prefer to drink outside of a meal, such as for leisure?","White (such as Chardonnay, Riesling).","Red (such as Merlot, Cabernet, Shiraz).",Rosé (such as White Zinfindel).,I don't drink wine.
